Generation number	Total number of allele	Diversity	Activity	Time	Fertility rate	2 DSB on one site rate	No DSB rate	No symmetrical sites (binding + DSB) rate	q
8570	3	1.81915	0.857769	1.87165	0.944733	0.028342	0.00236183	0.0245631	0.00763943
8580	3	1.8771	0.854927	1.9963	0.931099	0.0386406	0.00325885	0.0270019	0.00744149
8590	2	1.88399	0.851913	1.92855	0.946522	0.0274491	0.00141978	0.0246096	0.00758393
8600	2	1.84202	0.848662	1.89188	0.942063	0.030146	0.00235516	0.0254357	0.00781909
8610	2	1.86036	0.846215	1.88728	0.943396	0.0325472	0.00188679	0.0221698	0.00751878
8620	2	1.89428	0.842654	1.98828	0.937647	0.0384435	0.00187529	0.0220347	0.00759858
8630	2	1.83705	0.840403	1.89264	0.93985	0.0296053	0.00140977	0.0291353	0.00772817
8640	2	1.88399	0.836482	1.90138	0.94697	0.0336174	0	0.0194129	0.00741373
8650	2	1.9653	0.832454	1.90681	0.93985	0.031015	0.00234962	0.0267857	0.00753196
8660	2	1.98529	0.829008	1.9805	0.931099	0.0372439	0.0027933	0.0288641	0.00735803
8670	2	1.9877	0.826	1.95741	0.93633	0.0318352	0.00327715	0.0285581	0.00753227
8680	3	1.98526	0.822624	1.98082	0.926355	0.0421491	0.000926355	0.0305697	0.0074776
8690	3	1.9704	0.817684	1.96313	0.928936	0.0352996	0.00418021	0.0315838	0.0074456
8700	2	1.99321	0.816342	1.91945	0.938086	0.0304878	0.00281426	0.0286116	0.00776618
8710	4	2.00995	0.814878	1.95515	0.938967	0.0352113	0.00187793	0.0239437	0.00755425
8720	3	2.01437	0.811436	1.97227	0.938527	0.0328484	0	0.0286251	0.00768118
8730	4	2.00161	0.807808	2.02555	0.940734	0.0296331	0.00470367	0.0249294	0.00788426
8740	3	2.0121	0.806986	1.84751	0.946074	0.0288553	0.00236518	0.0227058	0.00774804
8750	3	2.01332	0.804173	2.04218	0.931966	0.0349487	0.00139795	0.0316869	0.0077758
8760	3	2.03076	0.800879	1.95071	0.945626	0.0231678	0.00378251	0.0274232	0.00774645
8770	3	2.01	0.797034	1.9552	0.926784	0.0403151	0.00231696	0.0305839	0.00753648
8780	4	2.01645	0.797808	2.02465	0.928505	0.0380687	0.00510678	0.0283194	0.00763556
